rank,nominal_trading_day,phase,replicate,case_id,candidate_id
129,65,P2-operating,5,jev-technical-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
130,65,P2-operating,5,jev-microstructure-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
131,66,P2-operating,5,jev-technical-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
132,66,P2-operating,5,jev-microstructure-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
133,67,P2-operating,5,jev-technical-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
134,67,P2-operating,5,jev-microstructure-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
135,68,P2-operating,5,jev-technical-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
136,68,P2-operating,5,jev-microstructure-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
137,69,P2-operating,5,jev-technical-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
138,69,P2-operating,5,jev-microstructure-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
139,70,P2-operating,5,jev-technical-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
140,70,P2-operating,5,jev-microstructure-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
141,71,P2-operating,5,jev-technical-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
142,71,P2-operating,5,jev-microstructure-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
143,72,P2-operating,5,jev-technical-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
144,72,P2-operating,5,jev-microstructure-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
145,73,P2-operating,5,jev-technical-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
146,73,P2-operating,5,jev-microstructure-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
147,74,P2-operating,5,jev-technical-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
148,74,P2-operating,5,jev-microstructure-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
149,75,P2-operating,5,jev-technical-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
150,75,P2-operating,5,jev-microstructure-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
